Province,Cases,Recoveries,Deaths,Active,latitude,longitude,logo
Aceh,44842,42515,2263,64,4.695135,96.7493993,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Coat_of_arms_of_Aceh.svg/1200px-Coat_of_arms_of_Aceh.svg.png
Bali,172387,167356,4866,165,-8.4095178,115.188916,https://4.bp.blogspot.com/-ELlrLdH0frM/WSz4AjqIWaI/AAAAAAAAASY/EF5ayA5zXn05TXw53cRUVTJeh6lzUJDDwCLcB/s400/Lambang%2BDaerah%2BProvinsi%2BBali%2B2.png
Bangka Belitung Islands,67135,65405,1651,79,-2.7410513,106.4405872,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Coat_of_arms_of_Bangka_Belitung_Islands.svg/1200px-Coat_of_arms_of_Bangka_Belitung_Islands.svg.png
Banten,364679,361040,2986,653,-6.4058171999999995,106.0640179,https://upload.wikimedia.org/wikipedia/commons/8/82/Coat_of_arms_of_Banten.png
Bengkulu,29838,29257,528,53,-3.5778471,102.3463875,https://upload.wikimedia.org/wikipedia/commons/7/7d/Coat_of_arms_of_Bengkulu.png
Central Java,655026,617919,33956,3151,-7.150975,110.1402594,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Jawa_Tengah_Logo.svg/526px-Jawa_Tengah_Logo.svg.png
Central Kalimantan,59291,57683,1555,53,-1.6814878,113.3823545,https://upload.wikimedia.org/wikipedia/commons/e/eb/Coat_of_arms_of_Central_Kalimantan.png
Central Sulawesi,62894,60983,1752,159,-1.4300254,121.4456179,http://1.bp.blogspot.com/-Mb3OPbim3Gw/VrYYo_59GjI/AAAAAAAAVFw/oh24hNmZ1NU/s1600/LOGO%2BSULAWESI%2BTENGAH.png
East Java,636284,603328,32224,732,-7.5360639,112.2384017,https://2.bp.blogspot.com/-S1hrqQnm0nc/XDCpZ6C7iSI/AAAAAAAABvI/MlNdKdkNBHQa0lU-1I0gyTT5FbFSR2K0QCLcBGAs/s400/logo%2Bprovinsi%2Bjawa%2Btimur.png
East Kalimantan,214380,208517,5792,71,1.6406296,116.419389,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Coat_of_arms_of_East_Kalimantan.svg/1200px-Coat_of_arms_of_East_Kalimantan.svg.png
East Nusa Tenggara,97167,95485,1564,118,-8.6573819,121.0793705,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Coat_of_arms_of_East_Nusa_Tenggara.svg/1200px-Coat_of_arms_of_East_Nusa_Tenggara.svg.png
Gorontalo,14078,13463,486,129,0.6999371999999999,122.4467238,https://3.bp.blogspot.com/-75ec3fJKhgU/UNl0Tdg9UXI/AAAAAAAAIrg/YztGIINVa2w/s1600/LOGO+PROVINSI+GORONTALO.png
Jakarta,1535053,1517065,15889,2099,-6.211544,106.845172,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Coat_of_arms_of_Jakarta.svg/1200px-Coat_of_arms_of_Jakarta.svg.png
